	Basemean	LogFold	lfcse	stat	pvalue	padj
Rbl1	261.779828117904	-0.053601792498806	0.173412480760125	-0.30909996941311	0.757245482452182	0.908040343068808
Bmp6	442.598787102063	0.079033613236002	0.094696200750459	0.834601732800979	0.403941986198972	0.715151279467721
Bmp4	182.675043480492	0.040268909710266	0.15040969765938	0.267728147432748	0.78890858196706	0.921226813961142
Tgfb2	505.093869916889	-0.273710254909285	0.066635313678431	-4.1075855998841	4.00E-05	0.002382420792524
Smad6	1920.99984630784	-0.010376525494824	0.14664533000148	-0.07075933133854	0.94358929954455	0.981657901696754
Bambi	373.672247293998	-0.067138225328549	0.110579339986802	-0.607149810593574	0.543751496399258	0.802324375914075
Cdkn2b	367.836297408419	-0.21364542994415	0.126472854025704	-1.68925918205917	0.091169771929497	0.379705416125728
Bmp2	186.03559350895	-0.135915332971465	0.114961396524785	-1.18226932761871	0.237098851922717	0.575127254863639
Nog	48.0012337399973	-0.397877024648883	0.143311770463109	-2.77630388183156	0.005498079382534	0.074264522617159
Bmpr1a	150.869582003931	-0.125636630252764	0.162122199981389	-0.774950193540344	0.438369090927979	0.735116374385596
Zfyve16	298.903428066017	0.162370319964132	0.179175968314837	0.906205901892073	0.364826879764327	0.684554947370553
Thbs1	256.033780945312	0.49068241322634	0.246875877235977	1.9875672695122	0.046859569207031	0.268870878878862
Rock1	61.669237898234	-0.07800847808479	0.250029267100401	-0.311997387303722	0.755042508931024	0.907182545812357
Ltbp1	631.206678303603	0.130894895249087	0.147795980037118	0.885645842439112	0.375808400422182	0.694035611393286
Chrd	267.979301884656	0.086998362848471	0.139056424770367	0.625633536833243	0.531555336313733	0.793947103587387
Smad3	176.442049495414	-0.193102843027487	0.132837825056043	-1.4536736275682	0.146036813182214	0.468667632989062
Cul1	24.5989725912343	0.108999748056499	0.230843098599041	0.472181099274812	0.63679752944462	0.851283524658496
Tgfb1	109.124256852915	0.077964708120555	0.12663125622689	0.615682971515839	0.538103778205052	0.798038715209006
Smad2	28.1552749566574	1.20822323638527	0.318914334630378	3.78855104705657	0.000151528460481	0.006409254162967
Acvr1	100.463207564239	-0.360351622623896	0.151477848585664	-2.37890639448915	0.017364084706018	0.153818388713527
Bmp8a	524.49547837881	0.437342210662125	0.208109421461553	2.10150125636153	0.035596987820765	0.231426343967067
Smad7	606.619477359416	0.100940948274761	0.174216027860778	0.579401043142977	0.562318600418486	0.813487099979336
Tnf	49.4179334952578	0.17200853130605	0.184379651882172	0.932904089741814	0.350869490590143	0.673556386050168
Tgfb3	334.588534258329	0.036879263290102	0.14894175002814	0.247608634134714	0.804437229655412	0.928048229448679
Lefty1	510.977566093488	-0.017974404368967	0.106705408533323	-0.168448859491066	0.866230172896646	0.953273987175518
Inhbb	48.8604711197965	0.186542641978459	0.221700618006263	0.841416878563637	0.400114433081251	0.711235203767095
Rps6kb1	48.8314837765348	-0.16885174330833	0.205233369843733	-0.822730452834718	0.410661293679526	0.718575783523757
Tfdp1	8.70224040322968	-0.189366732960866	0.28193839824424	-0.671659958842567	0.501800197835056	0.778011635758499
Zfyve9	198.88378143611	0.00349078620626	0.109586675530932	0.031854111727977	0.97458839358706	0.990895392199595
Smad9	55.5633800849452	0.285356207830967	0.146739935884125	1.94463903852529	0.051818437329236	0.283768710296746
Acvr2b	203.041345067858	0.140728603154154	0.163162906611347	0.862503654028231	0.388410423189678	0.703789544076663
Skp1a	843.231746773892	0.47396118683819	0.193929517385001	2.44398683206772	0.014525956708056	0.137127706572856
Crebbp	109.562017746879	0.105309699046203	0.101236442294375	1.04023508392347	0.298230695430586	0.628931452704563
Dcn	438.530242797654	-0.044003699313231	0.1026835592496	-0.428536950168119	0.668260237894801	0.866508692579484
Acvr2a	29.6708148334468	0.121786394918226	0.221895308326392	0.548846191642263	0.583111007530133	0.824970879186371
Smurf1	3002.36859042114	-0.089189291485245	0.138157039312205	-0.645564583095154	0.518561380273787	0.787651805878194
Sp1	89.5317725500424	0.206010976336136	0.218206798018635	0.94410888298055	0.345114010467242	0.668840887443271
Fst	62.7206529551283	-0.008704473552211	0.178722681527876	-0.04870379896831	0.961155348331782	0.987275536267419
Myc	312.245540714376	0.269774432225026	0.179642064040574	1.50173309166663	0.133166054055109	0.451255112665515
Bmpr1b	182.401224411509	-0.236052887331687	0.214592845250795	-1.1000035302007	0.271330583771937	0.606248902529696
Tgfbr1	622.866529112165	0.130288925737122	0.102967435339533	1.26534107902655	0.205749086857336	0.54596094388291
Ppp2cb	381.59683667588	0.221509033575731	0.218538462694001	1.0135928973102	0.310777048239314	0.640510116481072
Bmp7	880.780485888597	-0.180528293819643	0.117470243598265	-1.53680019969168	0.124342244529449	0.43760717749047
Rps6kb2	692.216733077263	0.223720936371347	0.147371189645215	1.51807783400499	0.128994778340555	0.445516207702729
Smurf2	194.547992722886	-0.321120435228298	0.176351329559048	-1.82091303780489	0.068620076998355	0.327379204245872
Inhba	456.093840297019	-0.087312475516681	0.118479943935066	-0.736938865910788	0.461159527333101	0.751968532131561
Ppp2ca	525.820339004501	-0.225269184801659	0.066020819455197	-3.4120931345684	0.000644660834994	0.0171501173569
E2f4	8.98480050917306	-0.402843260397852	0.295044817532529	-1.36536294304996	0.172139004876263	0.50620002801059
Smad4	381.868908064067	0.184326739209673	0.186872050088837	0.986379392327779	0.323946973724308	0.652006418509532
Ppp2r1a	343.680151982419	-1.15250657211695	0.218863310741331	-5.26587379224595	1.40E-07	4.24E-05
Bmpr2	814.343493775222	0.255224975603306	0.107147291444481	2.38200118885461	0.017218841862483	0.153434637793035
Ppp2r1b	421.442426023083	-0.127749076148759	0.12598200128697	-1.01402640729419	0.310570151780512	0.64015850614756
Smad5	675.586240911088	0.43197314616271	0.154866006242583	2.78933483624589	0.005281642821289	0.072609209728678
Amhr2	188.008609404815	0.10681201503542	0.129474837697353	0.824963498197945	0.409392314288028	0.718199817405746
Acvr1b	121.067427420599	0.057698639692754	0.211574080687247	0.272711286303756	0.785075158236047	0.919869989870752
Smad1	370.852171229819	-0.01220275498896	0.151664824352333	-0.080458702544049	0.935872440302126	0.977741929359435
Ep300	211.615895521366	0.095345250935468	0.182059208226061	0.523704633588646	0.600483992325036	0.834078657102543
Rhoa	493.865608852239	0.294251065487459	0.191066152288885	1.54004810356239	0.123548628370514	0.436502877940292
Tgfbr2	154.225593438929	0.357347052992014	0.167550687024567	2.13276984617567	0.03294361100258	0.222969843002115
E2f5	18.7479766924643	0.091325207669133	0.242228016782696	0.377021654563854	0.706157512365487	0.883867407369183
Rbx1	29.4775560960734	-0.232562511857776	0.196146130093225	-1.18565944557378	0.235756816114147	0.574429527732647
Acvr1c	108.705831283312	0.061626245435294	0.130289502301837	0.472994710598607	0.636216952857905	0.85095886968285
Nodal	61.1254694637099	-0.620940930032085	0.279429313408128	-2.22217534180157	0.02627145819293	0.197557249730495
Inhbc	8.78411594884429	0.182587922675565	0.328554195273456	0.555731521016179	0.578394404919597	0.821791567099393
Inhbe	253.546832829503	-0.070555685856771	0.127090837848436	-0.555159498916146	0.578785568723361	0.821976276341783
Lefty2	421.670553419658	0.002332327100902	0.127495683700283	0.018293380867579	0.985404807886861	0.99602120352484
4930544G11Rik	6.27244245085679	0.367026386407346	0.325358978542825	1.12806595364645	0.259292066393121	0.595622666294493
Ifng	135.622073938663	-0.411195572576727	0.111026085063457	-3.70359427103736	0.000212566137193	0.008168282195668
Amh	228.595733667028	-0.016708967120941	0.129821389568552	-0.128707350741442	0.89758921874277	0.965876312621864
Bmp5	57.9279489451268	-0.21104227566159	0.261172180478082	-0.808058022394543	0.419057181261883	0.723629040969792
Bmp8b	16.1993815663893	0.038561585865841	0.253627668370702	0.152040138655059	0.879155277570737	0.957962611094869
Gdf5	4.00405955244429	0.427306155287157	0.335577295097321	1.27334644366578	0.202895132906126	0.542571724339068
Gdf7	142.559614133974	0.334306828205764	0.132835211197721	2.51670340410088	0.011845850200211	0.119666154542568
Gdf6	646.195428049482	0.238742861030867	0.172056224722195	1.38758630451381	0.165263054184834	0.495732950631311
